,movieid,title,year,romance,sci-fi,animation,film-noir,musical,adventure,thriller,horror,documentary,fantasy,mystery,children,comedy,crime,western,imax,war,drama,action,average_rating,num_ratings
1593,2019,Seven Samurai (Shichinin no samurai),1954.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4.1875,48
993,1228,Raging Bull,1980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.1875,40
732,908,North by Northwest,1959.0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,4.184210526315789,57
990,1225,Amadeus,1984.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.184210526315789,76
3767,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le)",2001.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.183333333333334,120
963,1199,Brazil,1985.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.177966101694915,59
1719,2160,Rosemary's Baby,1968.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4.171875,32
1005,1242,Glory,1989.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.170731707317073,41
737,913,"Maltese Falcon, The",1941.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.170454545454546,44
332,356,Forrest Gump,1994.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.164133738601824,329
968,77846,12 Angry Men,1997.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.163793103448276,58
967,1203,12 Angry Men,1957.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.163793103448276,58
940,1172,Cinema Paradiso (Nuovo cinema Paradiso),1989.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.161764705882353,34
925,1136,Monty Python and the Holy Grail,1975.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4.161764705882353,136
538,593,"Silence of the Lambs, The",1991.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4.161290322580645,279
5058,7361,Eternal Sunshine of the Spotless Mind,2004.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.1603053435114505,131
6774,57669,In Bruges,2008.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,4.158536585365853,41
3130,4011,Snatch,2000.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4.155913978494624,93
4135,5618,Spirited Away (Sen to Chihiro no kamikakushi),2001.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.155172413793103,87
2871,3681,For a Few Dollars More (Per qualche dollaro in più),1965.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,4.151515151515151,33
2492,3147,"Green Mile, The",1999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.148648648648648,111
631,741,Ghost in the Shell (Kôkaku kidôtai),1995.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.148148148148148,27
1838,2324,Life Is Beautiful (La Vita è bella),1997.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.1477272727272725,88
4331,6016,City of God (Cidade de Deus),2002.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,4.1466666666666665,75
1604,2028,Saving Private Ryan,1998.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4.1462765957446805,188
2412,3037,Little Big Man,1970.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.145833333333333,24
965,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",1966.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4.145833333333333,72
1632,2067,Doctor Zhivago,1965.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.142857142857143,21
6745,56782,There Will Be Blood,2007.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4.142857142857143,28
974,1210,Star Wars: Episode VI - Return of the Jedi,1983.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.137755102040816,196
7099,68157,Inglourious Basterds,2009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4.136363636363637,88
1026,1262,"Great Escape, The",1963.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,4.127906976744186,43
3278,4226,Memento,2000.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.122641509433962,159
1013,1250,"Bridge on the River Kwai, The",1957.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4.122222222222222,45
1038,1272,Patton,1970.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.121212121212121,33
971,1207,To Kill a Mockingbird,1962.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.120689655172414,58
4947,7153,"Lord of the Rings: The Return of the King, The",2003.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,4.118918918918919,185
6277,44555,"Lives of Others, The (Das leben der Anderen)",2006.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.117647058823529,34
550,608,Fargo,1996.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,4.116022099447513,181
7431,78499,Toy Story 3,2010.0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,4.109090909090909,55
4319,5995,"Pianist, The",2002.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.108695652173913,46
7861,92259,Intouchables,2011.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.108108108108108,37
3783,4993,"Lord of the Rings: The Fellowship of the Ring, The",2001.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.106060606060606,198
1007,1244,Manhattan,1979.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.106060606060606,33
105,111,Taxi Driver,1976.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4.105769230769231,104
498,541,Blade Runner,1982.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.100806451612903,124
883,1086,Dial M for Murder,1954.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4.1,25
987,1222,Full Metal Jacket,1987.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.098039215686274,102
619,720,Wallace & Gromit: The Best of Aardman Animation,1996.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.092592592592593,27
1996,2502,Office Space,1999.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4.090425531914893,94
5826,27773,Old Boy,2003.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.089743589743589,39
988,1223,"Grand Day Out with Wallace and Gromit, A",1989.0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4.089285714285714,28
1022,1258,"Shining, The",1980.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.08256880733945,109
1369,1704,Good Will Hunting,1997.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.078014184397163,141
1342,1673,Boogie Nights,1997.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.076923076923077,39
5920,31658,Howl's Moving Castle (Hauru no ugoku shiro),2004.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.075,40
8499,166024,Whiplash,2013.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.075,40
8498,112552,Whiplash,2014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.075,40
723,899,Singin' in the Rain,1952.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.074468085106383,47
881,1084,Bonnie and Clyde,1967.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.071428571428571,35
1012,1249,"Femme Nikita, La (Nikita)",1990.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4.071428571428571,35
6135,38061,Kiss Kiss Bang Bang,2005.0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,4.071428571428571,35
7448,79132,Inception,2010.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,4.066433566433567,143
1010,1247,"Graduate, The",1967.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.063291139240507,79
4502,6350,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta),1986.0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,4.0625,24
1302,1617,L.A. Confidential,1997.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4.061855670103093,97
7149,69481,"Hurt Locker, The",2008.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4.0588235294117645,34
3939,5300,3:10 to Yuma,1957.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,4.0576923076923075,26
3940,54997,3:10 to Yuma,2007.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,4.0576923076923075,26
6870,60069,WALL·E,2008.0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0576923076923075,104
739,916,Roman Holiday,1953.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0576923076923075,26
2260,2858,American Beauty,1999.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.056372549019608,204
2209,2788,Monty Python's And Now for Something Completely Different,1971.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.053571428571429,28
2031,2542,"Lock, Stock & Two Smoking Barrels",1998.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4.052238805970149,67
2192,2761,"Iron Giant, The",1999.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4.051282051282051,39
8507,112852,Guardians of the Galaxy,2014.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0508474576271185,59
8314,105504,Captain Phillips,2013.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,4.0476190476190474,21
1057,1291,Indiana Jones and the Last Crusade,1989.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.046428571428572,140
1025,1261,Evil Dead II (Dead by Dawn),1987.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,4.044117647058823,34
746,923,Citizen Kane,1941.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.043478260869565,69
7540,81845,"King's Speech, The",2010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.043103448275862,58
738,914,My Fair Lady,1964.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.042857142857143,35
193,215,Before Sunrise,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.041666666666667,24
979,1215,Army of Darkness,1993.0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,4.03921568627451,51
649,778,Trainspotting,1996.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4.03921568627451,102
1036,1270,Back to the Future,1985.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.038011695906433,171
2893,3703,"Road Warrior, The (Mad Max 2)",1981.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4.0375,40
2680,3424,Do the Right Thing,1989.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.037037037037037,27
930,1148,Wallace & Gromit: The Wrong Trousers,1993.0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4.035714285714286,56
781,953,It's a Wonderful Life,1946.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4.0344827586206895,58
4684,6711,Lost in Translation,2003.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.033783783783784,74
1031,144352,Unforgiven,2013.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4.032608695652174,46
1030,1266,Unforgiven,1992.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4.032608695652174,46
104,110,Braveheart,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4.031645569620253,237
6267,44195,Thank You for Smoking,2006.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.027777777777778,36
54,58,"Postman, The (Postino, Il)",1994.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.027027027027027,37
727,903,Vertigo,1958.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4.025,60
7917,93840,"Cabin in the Woods, The",2012.0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4.0227272727272725,22
2745,3504,Network,1976.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0227272727272725,22
7340,74458,Shutter Island,2010.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4.022388059701493,67
4289,5952,"Lord of the Rings: The Two Towers, The",2002.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0212765957446805,188
8594,116797,The Imitation Game,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4.02,50
270,293,Léon: The Professional (a.k.a. The Professional) (Léon),1994.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,4.018796992481203,133
4722,6787,All the President's Men,1976.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.018518518518518,27
1064,1299,"Killing Fields, The",1984.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.017857142857143,28
1054,1288,This Is Spinal Tap,1984.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.015151515151516,66
30,29,"City of Lost Children, The (Cité des enfants perdus, La)",1995.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,4.0131578947368425,38
734,910,Some Like It Hot,1959.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4.01,50
5472,8874,Shaun of the Dead,2004.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.0064935064935066,77
6438,48780,"Prestige, The",2006.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4.0055555555555555,90
1141,1387,Jaws,1975.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.0054945054945055,91
1023,1259,Stand by Me,1986.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0054945054945055,91
7128,68954,Up,2009.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4.004761904761905,105
3785,4995,"Beautiful Mind, A",2001.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,123
4915,7099,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika),1984.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,23
702,866,Bound,1996.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4.0,23
1119,1357,Shine,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,24
6525,51255,Hot Fuzz,2007.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,4.0,61
8897,134130,The Martian,2015.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,48
1594,2020,Dangerous Liaisons,1988.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,25
2137,2692,Run Lola Run (Lola rennt),1998.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.0,75
970,1206,"Clockwork Orange, A",1971.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.995833333333333,120
7828,91529,"Dark Knight Rises, The",2012.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,3.9934210526315788,76
8410,109487,Interstellar,2014.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.993150684931507,73
1044,1278,Young Frankenstein,1974.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3.9927536231884058,69
1148,1394,Raising Arizona,1987.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.9913793103448274,58
7539,81834,Harry Potter and the Deathly Hallows: Part 1,2010.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,3.9893617021276597,47
6894,60684,Watchmen,2009.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,3.988372093023256,43
420,55854,"Fugitive, The",1947.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.986910994764398,191
419,457,"Fugitive, The",1993.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.986910994764398,191
5502,8950,The Machinist,2004.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3.986842105263158,38
8660,119145,Kingsman: The Secret Service,2015.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3.986111111111111,36
886,1090,Platoon,1986.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3.984126984126984,63
7713,88163,"Crazy, Stupid, Love.",2011.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.9838709677419355,31
33,32,Twelve Monkeys (a.k.a. 12 Monkeys),1995.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.983050847457627,177
8055,97304,Argo,2012.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.982142857142857,28
3708,4878,Donnie Darko,2001.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3.981651376146789,109
9384,164179,Arrival,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.980769230769231,26
1744,2186,Strangers on a Train,1951.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.98,25
8470,111759,Edge of Tomorrow,2014.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.977272727272727,44
998,1234,"Sting, The",1973.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3.9765625,64
5169,106918,"Secret Life of Walter Mitty, The",2013.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.9761904761904763,21
5168,7826,"Secret Life of Walter Mitty, The",1947.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.9761904761904763,21
45,47,Seven (a.k.a. Se7en),1995.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.9753694581280787,203
4565,6502,28 Days Later,2002.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.9741379310344827,58
2225,2804,"Christmas Story, A",1983.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3.9727272727272727,55
534,589,Terminator 2: Judgment Day,1991.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.970982142857143,224
791,969,"African Queen, The",1951.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3.9705882352941178,34
978,1214,Alien,1979.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.969178082191781,146
7103,68237,Moon,2009.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3.96875,32
2335,2944,"Dirty Dozen, The",1967.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.96875,32
1465,1884,Fear and Loathing in Las Vegas,1998.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.967391304347826,46
964,1200,Aliens,1986.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3.9642857142857144,126
733,909,"Apartment, The",1960.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.962962962962963,27
4764,6874,Kill Bill: Vol. 1,2003.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3.9618320610687023,131
2059,2580,Go,1999.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3.9615384615384617,39
9167,148626,"Big Short, The",2015.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.9615384615384617,26
4514,6377,Finding Nemo,2003.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3.9609929078014185,141
4303,5971,My Neighbor Totoro (Tonari no Totoro),1988.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3.9594594594594597,37
1009,1246,Dead Poets Society,1989.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.9593023255813953,86
